2026-02-14 22:30:38.984 UTC [593] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:37:57.513 UTC [620] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:38:04.934 UTC [621] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:38:04.934 UTC [621] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:38:18.644 UTC [623] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:38:18.644 UTC [623] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:38:45.233 UTC [625] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:38:45.233 UTC [625] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:39:37.312 UTC [628] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:39:37.312 UTC [628] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:40:38.227 UTC [631] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:40:38.227 UTC [631] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:41:39.182 UTC [634] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:41:39.182 UTC [634] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:42:40.204 UTC [637] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:42:40.204 UTC [637] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:43:41.131 UTC [640] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:43:41.131 UTC [640] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:44:42.036 UTC [643] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:44:42.036 UTC [643] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:45:42.986 UTC [646] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:45:42.986 UTC [646] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:46:43.906 UTC [649] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:46:43.906 UTC [649] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:47:45.033 UTC [652] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:47:45.033 UTC [652] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:47:52.064 UTC [653] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:47:52.064 UTC [653] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:47:53.199 UTC [654] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:47:53.199 UTC [654] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:47:54.309 UTC [655] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:47:54.309 UTC [655] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:47:55.734 UTC [656] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:47:55.734 UTC [656] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:47:57.550 UTC [657] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:47:57.550 UTC [657] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:48:00.088 UTC [658] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:48:00.088 UTC [658] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:48:04.373 UTC [659] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:48:04.373 UTC [659] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:48:11.680 UTC [661] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:48:11.680 UTC [661] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:48:25.391 UTC [662] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:48:25.391 UTC [662] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
2026-02-14 22:48:51.860 UTC [664] FATAL:  password authentication failed for user "netguard"
2026-02-14 22:48:51.860 UTC [664] DETAIL:  Connection matched file "/var/lib/postgresql/data/pg_hba.conf" line 128: "host all all all scram-sha-256"
